TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
AALR3;11,68;0,75;74,49;1,07;0,53;24,40;10,06;1,77;13,11;18,50;5,39;0,44;1,32;-97,62;-0,69;0,98;1,43;0,71;4,36;0,49;0,51;0,40;22,24;;15.206.060,03
ABCB4;15,04;3,26;6,70;0,81;0,07;4,20;2,22;8,62;25,98;25,98;;;0,58;112,95;-0,24;1,00;12,10;1,00;;0,08;0,92;0,12;5,50;8,66;14.893.272,72
ABEV3;14,85;3,30;21,94;3,24;2,06;57,74;28,59;20,26;15,55;14,90;-0,65;-0,14;4,45;39,82;-2,83;1,23;14,77;9,37;19,35;0,63;0,37;0,46;6,67;-0,28;371.913.739,76
ADHM3;2,48;;-6,50;-2,05;167,12;100,00;-13.548,48;-18.860,61;-9,05;-9,05;0,00;;1.225,54;-2,27;-184,67;0,00;31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;184.633,55
AFLT3;11,19;0,94;28,55;3,21;3,06;64,59;63,12;63,86;28,88;26,56;-2,32;-0,26;18,23;9,08;-4,72;23,21;11,23;10,71;10,08;0,95;0,05;0,17;2,20;11,01;107.235,34
AGRO3;22,13;4,20;11,21;1,25;0,71;30,53;22,22;18,67;9,42;13,16;3,74;0,49;2,09;5,04;-1,00;1,96;11,11;6,34;7,68;0,57;0,43;0,34;29,55;;3.740.491,62
AHEB3;25,59;;-8,61;10,08;0,82;28,11;-15,63;-16,95;-9,33;;1,10;-1,19;1,46;-12,34;-1,00;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;15.234,00
AHEB5;25,00;;-8,41;9,85;0,80;28,11;-15,63;-16,95;-9,12;;1,10;-1,19;1,43;-12,05;-0,97;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;3.341,00
AHEB6;24,82;;-8,35;9,78;0,79;28,11;-15,63;-16,95;-9,05;;1,10;-1,19;1,42;-11,97;-0,97;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;10.381,00
ALPA3;24,85;0,20;61,11;5,10;2,78;51,19;8,15;6,80;50,94;54,76;-1,11;-0,11;4,15;10,80;-6,71;1,79;8,35;4,55;6,00;0,55;0,45;0,67;1,55;-1,97;50.360,93
ALPA4;29,79;0,19;73,25;6,12;3,33;51,19;8,15;6,80;61,07;54,76;-1,11;-0,11;4,98;12,95;-8,04;1,79;8,35;4,55;6,00;0,55;0,45;0,67;1,55;-1,97;51.196.509,86
ALPK3;9,70;;-44,42;3,38;0,78;27,53;7,82;-8,54;48,51;87,15;38,65;2,69;3,79;-6,76;-0,87;0,46;-7,60;-1,76;1,74;0,23;0,77;0,21;;;1.062.803,48
ALSC3;27,75;;36,58;2,15;1,20;75,71;65,32;29,30;16,41;14,85;-1,56;-0,20;10,72;9,41;-1,43;5,39;5,88;3,29;11,21;0,56;0,44;0,11;2,54;10,07;
ALSO3;30,45;;64,26;1,06;0,74;71,07;39,35;14,34;23,42;19,16;-4,26;-0,19;9,22;5,27;-0,88;9,03;1,65;1,15;3,72;0,70;0,30;0,08;18,45;-27,08;53.132.410,34
ALUP11;24,29;1,36;5,19;0,91;0,36;49,37;47,57;29,42;3,21;5,56;2,35;0,67;1,53;2,44;-0,48;2,43;17,54;6,89;10,14;0,39;0,61;0,23;25,59;16,91;23.018.550,90
ALUP3;9,71;1,13;6,22;1,09;0,43;49,37;47,57;29,42;3,85;5,56;2,35;0,67;1,83;2,92;-0,57;2,43;17,54;6,89;10,14;0,39;0,61;0,23;25,59;16,91;207.732,00
ALUP4;7,24;1,52;4,64;0,81;0,32;49,37;47,57;29,42;2,87;5,56;2,35;0,67;1,36;2,18;-0,43;2,43;17,54;6,89;10,14;0,39;0,61;0,23;25,59;16,91;191.128,86
AMAR3;8,85;;-12,97;1,75;0,68;45,06;-0,34;-6,27;-240,10;-343,89;-103,79;0,76;0,81;2,89;-1,48;1,76;-13,49;-5,23;-1,33;0,39;0,61;0,83;-2,93;;67.513.052,66
ANDG3B;153,00;;318,25;11,82;10,00;47,12;179,06;45,82;81,43;41,65;0,93;0,13;145,82;-134,40;-10,27;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;41,65;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;
ANIM3;25,76;;-43,02;1,72;0,85;44,54;5,91;-5,37;39,10;43,10;3,99;0,18;2,31;3,03;-1,38;3,81;-4,00;-1,98;2,39;0,50;0,50;0,37;11,24;;15.003.524,03
APER3;35,48;0,15;-183,81;2,31;1,55;100,00;-2,57;-2,36;-168,52;-135,74;32,78;-0,45;4,33;6,39;-2,55;2,61;-1,26;-0,84;-1,38;0,67;0,33;0,36;-16,64;-31,12;3.275.053,55
APTI3;0,00;;0,00;0,00;0,00;37,66;-33,28;-60,85;0,00;-7,04;-3,41;0,18;0,00;0,00;0,00;0,89;-9,40;-4,98;-5,04;0,53;0,47;0,08;-8,24;;
APTI4;3.500,00;;-2,99;0,28;0,15;37,66;-33,28;-60,85;-5,47;-7,04;-3,41;0,18;1,82;-8,50;-0,17;0,89;-9,40;-4,98;-5,04;0,53;0,47;0,08;-8,24;;
ARZZ3;52,30;0,68;28,85;6,30;2,50;46,23;13,74;9,83;20,64;20,63;-0,01;0,00;2,84;6,03;-9,74;2,26;21,82;8,65;13,02;0,40;0,60;0,88;9,79;7,54;32.332.449,10
ATMP3;4,94;;-0,25;33,45;0,07;-21,71;-36,65;-55,63;-0,38;-1,87;-1,49;131,38;0,14;-0,34;-0,09;0,51;-13.377,77;-27,13;-65,26;0,00;1,00;0,49;-21,09;;68.662,03
ATOM3;2,17;;9,55;5,13;2,42;100,00;20,57;44,32;20,58;14,80;-5,78;-1,44;4,23;2,61;-343,57;15,01;53,70;25,37;22,03;0,47;0,53;0,57;;;328.743,28
AZEV3;13,40;;-0,56;-0,29;1,31;-159,65;-329,52;-533,18;-0,90;-0,93;-0,42;;2,96;-0,37;-2,13;0,10;52,83;-235,32;55,34;-4,45;5,45;0,44;-64,98;;856.900,93
AZEV4;4,70;;-0,20;-0,10;0,46;-159,65;-329,52;-533,18;-0,32;-0,93;-0,42;;1,04;-0,13;-0,75;0,10;52,83;-235,32;55,34;-4,45;5,45;0,44;-64,98;;1.220.844,48
AZUL4;21,91;;-3,17;-2,86;1,47;-0,78;-11,73;-74,27;-20,10;-34,23;-14,13;;2,36;-4,46;-1,81;0,37;90,10;-46,19;-15,39;-0,51;1,51;0,62;14,54;;624.096.530,21
B3SA3;59,95;2,14;39,41;4,96;3,00;100,00;59,44;48,68;32,28;30,78;-1,50;-0,23;19,18;65,20;-4,22;1,19;12,58;7,61;10,47;0,61;0,39;0,16;23,81;22,64;589.233.150,14
BAHI3;96,99;;-11,80;2,03;0,52;37,60;-21,32;-22,67;-12,55;-11,65;0,90;-0,15;2,68;-8,22;-0,60;0,69;-17,21;-4,38;-13,86;0,25;0,75;0,19;;;199.805,79
BALM3;13,16;6,99;26,31;1,15;0,63;50,33;4,33;3,33;20,20;20,56;2,79;0,16;0,88;2,15;-1,65;1,91;4,37;2,40;1,55;0,55;0,45;0,72;5,12;-19,47;9.053,60
BALM4;9,99;9,21;19,97;0,87;0,48;50,33;4,33;3,33;15,34;20,56;2,79;0,16;0,66;1,63;-1,25;1,91;4,37;2,40;1,55;0,55;0,45;0,72;5,12;-19,47;15.029,71
BAUH4;90,00;0,95;17,50;6,55;3,88;25,27;8,87;14,91;29,40;27,19;-2,21;-0,49;2,61;22,33;-8,66;1,46;37,43;22,18;9,01;0,59;0,41;1,49;8,15;23,02;55.317,17
BAZA3;38,46;10,10;3,59;0,52;0,06;38,11;38,04;21,35;2,02;2,02;;;0,77;-0,15;-0,08;0,42;14,38;1,55;;0,11;0,89;0,07;6,35;8,48;154.822,17
BBAS3;34,14;5,39;5,70;0,96;0,06;13,61;3,41;11,90;19,90;19,90;;;0,68;-0,33;-0,13;0,75;16,80;1,03;;0,06;0,94;0,09;-2,23;7,20;711.190.019,62
BBDC3;20,45;8,40;9,00;1,40;0,15;-2,42;-6,38;22,82;-32,23;-33,66;;;2,05;-1,48;-0,28;0,83;15,55;1,62;;0,10;0,90;0,07;4,51;6,55;125.502.564,62
BBDC4;22,27;8,48;9,81;1,52;0,16;-2,42;-6,38;22,82;-35,09;-33,66;;;2,24;-1,61;-0,31;0,83;15,55;1,62;;0,10;0,90;0,07;4,51;6,55;1.168.233.072,21
BBML3;3.936,42;0,00;18.781,66;1.358,64;247,24;8,01;2,86;1,22;8.006,17;8.014,97;8,80;1,49;228,80;-64.594,08;-399,25;0,99;7,23;1,32;2,85;0,18;0,82;1,08;;;25.249.196.942,50
BBRK3;2,61;;-0,73;0,49;0,29;72,18;-99,07;-98,36;-0,72;-0,35;0,37;-0,25;0,71;3,26;-0,40;1,48;-67,42;-40,09;-70,11;0,59;0,41;0,41;-13,43;;3.564.227,00
BBSE3;27,72;10,11;8,49;9,09;4,76;;;;6,52;6,52;;;;40,75;-8,84;1,34;107,08;55,99;;0,52;0,48;0,00;;14,01;132.195.058,79
BDLL3;23,99;;-0,37;3,05;0,05;-30,98;-156,33;-193,35;-0,45;-2,97;-2,70;18,15;0,71;-0,23;-0,07;0,62;-831,33;-12,49;-35,48;0,02;0,98;0,06;-26,09;;23.990,00
BDLL4;8,50;;-0,13;1,08;0,02;-30,98;-156,33;-193,35;-0,16;-2,97;-2,70;18,15;0,25;-0,08;-0,02;0,62;-831,33;-12,49;-35,48;0,02;0,98;0,06;-26,09;;30.741,75
BEEF3;13,44;;20,51;11,28;0,41;19,26;8,70;1,82;4,28;7,82;3,54;9,32;0,37;1,32;-1,19;1,88;54,99;1,98;11,35;0,04;0,96;1,09;19,63;;108.028.967,83
BEES3;5,97;5,81;8,10;1,21;0,07;37,73;16,09;11,37;5,72;5,76;;;0,92;-0,49;-0,16;0,80;14,97;0,86;;0,06;0,94;0,08;3,69;8,54;179.629,41
BEES4;6,10;4,99;8,27;1,24;0,07;37,73;16,09;11,37;5,85;5,76;;;0,94;-0,50;-0,16;0,80;14,97;0,86;;0,06;0,94;0,08;3,69;8,54;44.887,93
BFRE11;0,00;;0,00;0,00;0,00;;;;0,00;;-12,33;-0,28;;0,00;0,00;13,26;6,67;6,42;-1,16;0,96;0,04;0,00;;;
BFRE12;0,00;;0,00;0,00;0,00;;;;0,00;;-12,33;-0,28;;0,00;0,00;13,26;6,67;6,42;-1,16;0,96;0,04;0,00;;;
BGIP3;44,10;1,23;8,30;1,50;0,12;59,25;16,75;11,97;5,93;5,14;;;0,99;-12,26;-0,32;0,99;18,03;1,39;;0,08;0,92;0,12;5,66;64,33;5.891,67
BGIP4;32,42;1,84;6,10;1,10;0,08;59,25;16,75;11,97;4,36;5,14;;;0,73;-9,01;-0,23;0,99;18,03;1,39;;0,08;0,92;0,12;5,66;64,33;119.948,28
BIDI11;50,40;0,49;208,61;5,53;1,13;51,80;0,04;6,49;33.550,31;33.550,31;;;13,54;11,63;-2,94;1,19;2,65;0,54;;0,21;0,79;0,08;;;34.722.625,90
BIDI3;15,90;0,52;197,43;5,23;1,07;51,80;0,04;6,49;31.752,98;33.550,31;;;12,81;11,00;-2,78;1,19;2,65;0,54;;0,21;0,79;0,08;;;7.896.822,10
BIDI4;17,33;0,48;215,19;5,70;1,17;51,80;0,04;6,49;34.608,75;33.550,31;;;13,96;11,99;-3,03;1,19;2,65;0,54;;0,21;0,79;0,08;;;37.061.920,03
BIOM3;17,85;;-18,19;8,06;2,97;20,69;-318,59;-372,35;-21,26;-23,57;-2,31;0,87;67,73;16,74;-4,39;2,21;-44,31;-16,32;-16,17;0,37;0,63;0,04;;;2.652.066,45
BKBR3;12,40;0,41;-278,67;1,63;0,82;61,65;1,71;-0,36;58,01;62,59;4,59;0,13;0,99;35,61;-1,04;1,12;-0,58;-0,30;1,36;0,51;0,49;0,83;433,99;;27.939.740,72
BMEB3;17,10;3,65;6,39;0,96;0,09;57,90;10,06;6,07;3,86;3,64;;;0,39;0,44;-0,21;1,58;15,02;1,41;;0,09;0,91;0,23;-5,92;;51.310,78
BMEB4;14,60;4,70;5,46;0,82;0,08;57,90;10,06;6,07;3,29;3,64;;;0,33;0,37;-0,18;1,58;15,02;1,41;;0,09;0,91;0,23;-5,92;;132.944,55
BMGB4;5,50;4,55;8,71;0,81;0,15;65,58;1,55;10,23;57,67;57,67;;;0,89;-0,39;-0,17;0,02;9,35;1,70;;0,18;0,72;0,17;;;7.457.071,83
BMIN3;20,80;6,73;35,09;0,81;0,51;77,15;28,22;21,75;27,05;26,89;;;7,63;3,35;-0,77;1,87;2,31;1,47;;0,63;0,37;0,07;5,44;-8,61;56.618,45
BMIN4;20,00;7,00;33,74;0,78;0,49;77,15;28,22;21,75;26,00;26,89;;;7,34;3,22;-0,74;1,87;2,31;1,47;;0,63;0,37;0,07;5,44;-8,61;46.390,52
BMKS3;188,00;3,24;33,61;0,48;0,43;26,71;-30,79;16,20;-17,68;11,75;29,43;-0,80;5,45;0,54;-2,43;28,58;1,44;1,27;-3,35;0,89;0,11;0,08;-13,82;-25,48;22.091,45
BNBR3;84,99;5,68;4,13;1,31;0,12;45,29;45,63;32,26;2,92;2,92;;;1,33;-3,31;-0,16;0,86;31,65;3,01;;0,10;0,90;0,09;4,71;18,37;56.310,96
BOBR3;0,00;;0,00;0,00;0,00;37,90;8,79;-0,79;0,00;5,85;2,73;;0,00;0,00;0,00;0,61;3,24;-1,23;570,23;-0,38;1,38;1,56;-1,67;;
BOBR4;2,37;;-73,66;-2,39;0,91;37,90;8,79;-0,79;6,62;5,85;2,73;;0,58;-3,34;-1,59;0,61;3,24;-1,23;570,23;-0,38;1,38;1,56;-1,67;;600.061,55
BPAC11;85,40;1,56;33,33;3,37;0,31;-2,33;11,26;17,24;51,05;51,05;;;5,75;3,07;-0,99;1,18;10,12;0,94;;0,09;0,91;0,05;-0,86;14,56;330.996.072,69
BPAC3;38,03;1,17;44,53;4,50;0,42;-2,33;11,26;17,24;68,20;51,05;;;7,68;4,10;-1,32;1,18;10,12;0,94;;0,09;0,91;0,05;-0,86;14,56;99.227,62
BPAC5;23,90;1,86;27,99;2,83;0,26;-2,33;11,26;17,24;42,86;51,05;;;4,83;2,58;-0,83;1,18;10,12;0,94;;0,09;0,91;0,05;-0,86;14,56;64.517,76
BPAN4;9,35;1,79;19,08;2,24;0,33;50,60;3,58;6,73;35,82;35,82;;;1,28;-1,78;-0,58;0,69;11,76;1,75;;0,15;0,85;0,26;8,37;49,77;61.650.563,41
BPAR3;182,07;7,71;5,55;1,22;0,19;76,82;31,24;18,60;3,30;3,30;;;1,03;-1,46;-0,40;0,81;22,01;3,34;;0,15;0,85;0,18;8,00;16,96;
BPAT33;0,00;;0,00;0,00;0,00;51,56;21,77;5,61;0,00;0,00;;;0,00;;0,00;;9,46;1,35;;0,14;0,86;0,24;14,99;-24,79;
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;
BRAP3;34,27;2,12;2.114,74;1,13;1,08;;;;-3.213,13;-3.420,26;-6,94;0,00;;43,05;-1,14;2,00;0,05;0,05;-0,04;0,95;0,05;0,00;;;496.337,76
BRAP4;37,56;2,13;2.317,76;1,24;1,19;;;;-3.521,59;-3.420,26;-6,94;0,00;;47,18;-1,25;2,00;0,05;0,05;-0,04;0,95;0,05;0,00;;;82.287.259,24
BRDT3;22,61;2,05;13,38;2,93;0,91;5,67;1,41;2,10;19,97;23,26;3,29;0,48;0,28;3,81;-1,92;1,85;21,87;6,83;1,76;0,31;0,69;3,25;-0,73;14,51;200.074.205,14
BRFS3;20,60;;13,16;2,46;0,35;25,15;9,56;3,63;5,00;9,39;4,39;2,16;0,48;5,32;-0,60;1,19;18,71;2,69;11,11;0,14;0,86;0,74;2,89;-33,13;207.739.023,24
BRGE11;13,99;2,49;13,11;0,57;0,33;-233,11;-1,67;268,48;-2.106,98;;1.169,06;-0,32;35,20;-3,62;-0,48;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;10.288,80
BRGE12;6,20;;5,81;0,25;0,15;-233,11;-1,67;268,48;-933,76;;1.169,06;-0,32;15,60;-1,60;-0,21;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;9.268,15
BRGE3;9,01;;8,44;0,37;0,21;-233,11;-1,67;268,48;-1.356,96;;1.169,06;-0,32;22,67;-2,33;-0,31;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;16.089,48
BRGE5;21,50;1,35;20,15;0,88;0,51;-233,11;-1,67;268,48;-3.238,03;;1.169,06;-0,32;54,10;-5,56;-0,73;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;29.783,33
BRGE6;11,65;5,97;10,92;0,48;0,28;-233,11;-1,67;268,48;-1.754,56;;1.169,06;-0,32;29,31;-3,01;-0,40;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;3.474,00
BRGE7;5,40;7,52;5,06;0,22;0,13;-233,11;-1,67;268,48;-813,27;;1.169,06;-0,32;13,59;-1,40;-0,18;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;
BRGE8;6,22;4,66;5,83;0,26;0,15;-233,11;-1,67;268,48;-936,77;;1.169,06;-0,32;15,65;-1,61;-0,21;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;1.984,85
BRIV3;7,53;;10,55;0,45;0,05;21,41;7,56;5,71;7,96;8,02;;;0,60;0,49;-0,14;1,18;4,22;0,47;;0,11;0,89;0,08;-6,24;0,83;7.973,25
BRIV4;7,68;7,24;10,76;0,45;0,05;21,41;7,56;5,71;8,11;8,02;;;0,61;0,50;-0,14;1,18;4,22;0,47;;0,11;0,89;0,08;-6,24;0,83;50.103,57
BRKM3;24,62;3,41;-2,36;-6,85;0,25;11,65;-3,45;-15,99;-10,94;;-14,76;;0,38;3,36;-0,38;1,29;289,77;-10,76;-14,90;-0,04;1,04;0,67;3,00;;628.006,76
BRKM5;23,60;3,55;-2,26;-6,56;0,24;11,65;-3,45;-15,99;-10,48;;-14,76;;0,36;3,22;-0,37;1,29;289,77;-10,76;-14,90;-0,04;1,04;0,67;3,00;;94.027.903,62
BRKM6;18,91;3,21;-1,81;-5,26;0,20;11,65;-3,45;-15,99;-8,40;;-14,76;;0,29;2,58;-0,29;1,29;289,77;-10,76;-14,90;-0,04;1,04;0,67;3,00;;2.836,00
BRML3;11,27;7,33;7,31;0,84;0,52;89,40;159,17;108,24;4,97;6,04;1,07;0,18;7,91;13,19;-0,55;2,72;11,51;7,05;10,48;0,61;0,39;0,07;-1,04;18,24;150.273.510,52
BRPR3;9,98;0,86;9,94;0,68;0,49;100,00;213,72;138,29;6,43;7,13;0,70;0,07;13,74;4,13;-0,58;5,15;6,84;4,97;7,88;0,73;0,27;0,04;-14,64;3,09;33.277.115,38
BRQB3;0,00;;0,00;0,00;0,00;31,34;11,57;7,65;0,00;-1,10;-1,10;-0,46;0,00;0,00;0,00;2,94;27,79;12,66;17,67;0,46;0,54;1,65;-0,37;100,11;
BRSR3;16,40;5,86;5,23;0,83;0,08;43,04;13,62;13,17;5,06;;;;0,69;1,30;-2,30;1,07;15,89;1,55;;0,10;0,90;0,12;1,64;15,38;1.192.125,55
BRSR5;21,50;4,73;6,86;1,09;0,11;43,04;13,62;13,17;6,63;;;;0,90;1,71;-3,02;1,07;15,89;1,55;;0,10;0,90;0,12;1,64;15,38;27.121,62
BRSR6;14,37;6,69;4,58;0,73;0,07;43,04;13,62;13,17;4,43;;;;0,60;1,14;-2,02;1,07;15,89;1,55;;0,10;0,90;0,12;1,64;15,38;45.062.691,93
BSEV3;3,80;;-4,99;16,94;0,38;14,29;6,30;-13,09;10,37;25,45;15,08;24,62;0,65;19,78;-0,56;1,06;-339,41;-7,57;5,24;0,02;0,98;0,58;7,87;;752.330,10
BSLI3;199,90;1,26;15,75;4,12;0,41;72,25;26,42;19,74;11,77;9,82;;;3,11;-1,69;-0,59;0,54;26,19;2,63;;0,10;0,90;0,13;5,10;12,95;40.671,20
BSLI4;55,11;5,03;4,34;1,14;0,11;72,25;26,42;19,74;3,24;9,82;;;0,86;-0,46;-0,16;0,54;26,19;2,63;;0,10;0,90;0,13;5,10;12,95;11.022,00
BTOW3;120,24;;-219,86;11,20;3,91;29,67;1,59;-4,00;553,08;555,18;2,10;0,04;8,79;12,67;-9,45;2,11;-5,10;-1,78;-0,04;0,35;0,65;0,45;-3,20;;354.976.943,76
BTTL3;6,32;;11,15;9,58;0,69;15,54;3,79;1,86;5,47;7,49;2,02;3,53;0,21;-22,85;-1,11;0,93;85,93;6,18;28,74;0,07;0,93;3,32;-11,43;;24.225,64
BTTL4;11.091,73;;19.559,68;16.807,32;1.209,22;15,54;3,79;1,86;9.600,97;7,49;2,02;3,53;364,09;-40.094,72;-1.947,88;0,93;85,93;6,18;28,74;0,07;0,93;3,32;-11,43;;9.388.768.360,00
CALI3;98,18;;-2,37;13,04;0,45;-56,28;-318,34;-300,62;-2,23;-1,50;0,01;-0,05;7,11;1,16;-0,99;3,39;-551,34;-18,90;-463,36;0,03;0,97;0,06;-38,15;;
CALI4;50,21;;-1,21;6,67;0,23;-56,28;-318,34;-300,62;-1,14;-1,50;0,01;-0,05;3,64;0,59;-0,51;3,39;-551,34;-18,90;-463,36;0,03;0,97;0,06;-38,15;;25.105,00
CAMB3;4,70;;8,27;2,41;0,79;45,05;16,70;10,95;5,43;7,10;1,67;0,74;0,91;12,25;-1,47;1,16;29,12;9,56;19,23;0,33;0,67;0,87;-4,98;7,64;2.701.695,38
